Schedule Name,Task ID,Task Name,BIM Elements,Recipe Name,Operation Name,Element Name,Element ID,Crew Type,Number of Crews,Workforce,Start Date,End Date,Duration (Working),Duration (Calendar),Predecessors,Labor Hours Budgeted,Latest Start,Latest End,Critical,Free Slack (hrs),Total Slack (hrs),Driving Task(s),Driving Constraint Type(s),Subcontractor,Trade,Crane,PR: SDO_LT_CC_SOLS_m2,PR: SDO_LT_CES_MENINT_m2,PR: SDO_GP_CC_SOLS_m2,PR: SDO_GP_CES_MENINT_m2,PR: SDO_LT_CC_FACEXT_m2,PR: SDO_LT_CES_CLDB_m2,PR: SDO_LT_GO,PR: SDO_LT_CC_ETAN_m2,PR: SDO_LT_CET_CVC_m2,PR: SDO_GP_CC_FACEXT_m2,PR: SDO_GP_CC_ETAN_m2,PR: SDO_GP_CC_MENEXT_m2,PR: SDO_GP_CET_CFO_m2,PR: SDO_LT_CET_CFA_m2,PR: SDO_GP_CET_CVC_m2,PR: SDO_GP_GO,PR: SDO_GP_CC_FP_m2,PR: SDO_GP_CET_PB_m2,PR: SDO_LT_CET_PB_m2,PR: SDO_LT_CET_CFO_m2,PR: SDO_LT_CC_FP_m2,PR: SDO_GP_CES_CLDB_m2,PR: SDO_GP_CET_CFA_m2,PR: SDO_LT_GO_TR,PR: SDO_LT_CES_PEINT_m2,PR: SDO_GP_CES_PEINT_m2,PR: SDO_GP_GO_BacAcier_m2,Property: BAT_GP,Property: BAT_LT,Property: Discipline,Property: Room_Level,Property: element_area,Property: element_volume,Property: element_ifcguid,Property: User,Property: Zone,Property: Duration,Property: element_length,Cost: Total Direct,Cost: Hourly Crew,Cost: Hourly Equipment,Cost: Labor,Cost: Equipment,Cost: Material
Base Parameters,A1117983301,"GO [N0_Construction
  works_Technical Rooms]",2b4d93e4-392e-4ae6-9265-c09f161494a4,10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",072e20fc-86c0-45cf-ac6f-54fb4d63acca,SDO_GO,1,1,4/4/2024,4/4/2024,1.19,1.19,,1.19,04-Apr-2024,04-Apr-2024,Yes,0,0,N/A,Milestone,GO,GO,,,,,,,,1.47,,,,,,,,,2.639,,,,,,,,,,,,1,0,GO,N0,3.141,0.776,,,,,,1.19,1,0,1.19,0,0
Base Parameters,A1297588754,"FACEXT [N0_CC_Technical
  Rooms]",2b4d93e4-392e-4ae6-9265-c09f161497de,10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",34cb1045-bf66-495d-94a1-1ccef0d936a7,SDO_FACEXT,1,1,4/4/2024,4/4/2024,1.6,1.6,,1.6,27-Aug-2026,27-Aug-2026,No,7,4424,A1117983301,Precedence,CC,CC,,,,,,0.862,,,,,1.969,,,,,,,,,,,,,,,,,,1,0,CC,N0,3.141,0.776,,,,,,1.6,1,0,1.6,0,0
Base Parameters,A559717323,"GO [N0_Construction
  works_Technical Rooms]",2b4d93e4-392e-4ae6-9265-c09f161495a2,10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",68e36dba-5fbb-449f-ab33-bddfba2b4fd1,SDO_GO,1,1,4/4/2024,4/5/2024,9.39,25.39,,9.39,04-Apr-2024,05-Apr-2024,Yes,0,0,"N/A, A1117983301","Milestone, Crew",GO,GO,,,,,,,,1.47,,,,,,,,,2.639,,,,,,,,,,,,1,0,GO,N0,24.793,6.124,,,,,,9.39,1,0,9.39,0,0
Base Parameters,A1355025290,"GO [N0_Construction
  works_Technical Rooms]",2b4d93e4-392e-4ae6-9265-c09f1614948c,10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",3ff693a9-3c4a-4f00-bf3d-eb63ca6992ee,SDO_GO,1,1,4/5/2024,4/8/2024,8.47,72.47,,8.47,05-Apr-2024,08-Apr-2024,Yes,0,0,A559717323,Crew,GO,GO,,,,,,,,1.47,,,,,,,,,2.639,,,,,,,,,,,,1,0,GO,N0,22.345,5.519,,,,,,8.47,1,0,8.47,0,0
Base Parameters,A1013245078,"FACEXT [N0_CC_Technical
  Rooms]",2b4d93e4-392e-4ae6-9265-c09f161494d4,10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",e8877fc2-0ccc-452b-851f-2b28a2c8e33b,SDO_FACEXT,1,1,4/5/2024,4/8/2024,12.59,76.59,,12.59,27-Aug-2026,31-Aug-2026,No,0,4417,A559717323,Precedence,CC,CC,,,,,,0.862,,,,,1.969,,,,,,,,,,,,,,,,,,1,0,CC,N0,24.793,6.124,,,,,,12.59,1,0,12.59,0,0
Base Parameters,A345930090,"GO [N0_Construction
  works_Technical Rooms]",2b4d93e4-392e-4ae6-9265-c09f16149494,10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",0434f269-36e4-4f6f-916e-16c94d889615,SDO_GO,1,1,4/8/2024,4/8/2024,2.81,2.81,,2.81,08-Apr-2024,08-Apr-2024,Yes,0,0,A1355025290,Crew,GO,GO,,,,,,,,1.47,,,,,,,,,2.639,,,,,,,,,,,,1,0,GO,N0,7.403,1.828,,,,,,2.81,1,0,2.81,0,0
Base Parameters,A792430151,"GO [N0_Construction
  works_Technical Rooms]",2b4d93e4-392e-4ae6-9265-c09f161494b8,10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",40de2057-dd62-4903-9362-252c969583f1,SDO_GO,1,1,4/8/2024,4/15/2024,39.83,167.83,,39.83,08-Apr-2024,15-Apr-2024,Yes,0,0,A345930090,Crew,GO,GO,,,,,,,,1.47,,,,,,,,,2.639,,,,,,,,,,,,1,0,GO,N0,105.113,25.963,,,,,,39.83,1,0,39.83,0,0
Base Parameters,A867649433,"FACEXT [N0_CC_Technical
  Rooms]",2b4d93e4-392e-4ae6-9265-c09f161497c6,10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",ca870084-dbf7-4c29-99d2-a20ec53f6034,SDO_FACEXT,1,1,4/8/2024,4/10/2024,11.35,43.35,,11.35,31-Aug-2026,01-Sep-2026,No,0,4417,A1013245078,Crew,CC,CC,,,,,,0.862,,,,,1.969,,,,,,,,,,,,,,,,,,1,0,CC,N0,22.345,5.519,,,,,,11.35,1,0,11.35,0,0
Base Parameters,A2123806149,"FACEXT [N0_CC_Technical
  Rooms]",2b4d93e4-392e-4ae6-9265-c09f161497ce,10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",48095435-11a4-448b-a808-9b44571f2044,SDO_FACEXT,1,1,4/10/2024,4/10/2024,3.76,3.76,,3.76,01-Sep-2026,01-Sep-2026,No,23,4417,A867649433,Crew,CC,CC,,,,,,0.862,,,,,1.969,,,,,,,,,,,,,,,,,,1,0,CC,N0,7.403,1.828,,,,,,3.76,1,0,3.76,0,0
Base Parameters,A1037820005,"GO [N0_Construction
  works_Technical Rooms]",2b4d93e4-392e-4ae6-9265-c09f161495f4,10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",9261888f-e32a-42a9-a7d6-a915b98ed940,SDO_GO,1,1,4/15/2024,4/16/2024,7.33,23.33,,7.33,15-Apr-2024,16-Apr-2024,Yes,0,0,A792430151,Crew,GO,GO,,,,,,,,1.47,,,,,,,,,2.639,,,,,,,,,,,,1,0,GO,N0,19.347,4.779,,,,,,7.33,1,0,7.33,0,0
