Task ID,Task Name,Recipe Name,Operation Name,Element Name,Crew Type,Start Date,End Date,Critical
A1013245078,"FACEXT [N0_CC_Technical
  Rooms]",10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",SDO_FACEXT,4/5/2024,4/8/2024,No
A1037820005,"GO [N0_Construction
  works_Technical Rooms]",10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",SDO_GO,4/15/2024,4/16/2024,Yes
A1089359578,"GO [N1_Construction
  works_Technical Room]",10_SDO_010_GO,GO,"N1_Construction
  works_Technical Room",SDO_GO,5/22/2024,5/23/2024,Yes
A1098134776,"FACEXT [N1_CC_Technical
  Rooms]",10_SDO_030_CC - FAC + MENEXT,FACEXT,"N1_CC_Technical
  Rooms",SDO_FACEXT,5/22/2024,5/23/2024,No
A1117983301,"GO [N0_Construction
  works_Technical Rooms]",10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",SDO_GO,4/4/2024,4/4/2024,Yes
A1130497168,"FACEXT [N0_CC_Technical
  Rooms]",10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",SDO_FACEXT,4/25/2024,4/26/2024,No
A1198981471,"GO [N1_Construction
  works_Technical Room]",10_SDO_010_GO,GO,"N1_Construction
  works_Technical Room",SDO_GO,5/23/2024,5/24/2024,Yes
A120258927,"GO [N1_Construction
  works_Technical Room]",10_SDO_010_GO,GO,"N1_Construction
  works_Technical Room",SDO_GO,6/13/2024,6/14/2024,Yes
A1215388200,"GO [N1_Construction
  works_Technical Room]",10_SDO_010_GO,GO,"N1_Construction
  works_Technical Room",SDO_GO,6/11/2024,6/13/2024,Yes
A1243052653,"GO [N1_Construction
  works_Technical Room]",10_SDO_010_GO,GO,"N1_Construction
  works_Technical Room",SDO_GO,6/10/2024,6/11/2024,Yes
A1248211973,"GO [N1_Construction
  works_Technical Room]",10_SDO_010_GO,GO,"N1_Construction
  works_Technical Room",SDO_GO,5/29/2024,6/4/2024,Yes
A1285812345,"FACEXT [N0_CC_Technical
  Rooms]",10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",SDO_FACEXT,5/2/2024,5/6/2024,No
A1297588754,"FACEXT [N0_CC_Technical
  Rooms]",10_SDO_030_CC - FAC + MENEXT,FACEXT,"N0_CC_Technical
  Rooms",SDO_FACEXT,4/4/2024,4/4/2024,No
A1355025290,"GO [N0_Construction
  works_Technical Rooms]",10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",SDO_GO,4/5/2024,4/8/2024,Yes
A1485695101,"GO [N0_Construction
  works_Technical Rooms]",10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",SDO_GO,4/17/2024,4/17/2024,Yes
A1552447483,"GO [N0_Construction
  works_Technical Rooms]",10_SDO_010_GO,GO,"N0_Construction
  works_Technical Rooms",SDO_GO,4/19/2024,4/25/2024,Yes
