Task ID,Task Name,BIM Elements,Recipe Name,Operation Name,Element Name,Element ID,Crew Type,Number of Crews,Workforce,Start Date,End Date,Duration (Working),Duration (Calendar),Predecessors,Labor Hours Budgeted,Latest Start,Latest End,Critical,Free Slack (hrs),Total Slack (hrs),Driving Task(s),Driving Constraint Type(s),Subcontractor,Trade,Crane,Excavator,Rebar,Concrete Pump,Concrete,Concrete R,Slab Formwork Sets,PR: colform,PR: hoursperday,Property: zone,Property: building,Property: element_alice_type,Property: element_family_and_type,Property: Qtty_Duct,Property: Qtty_piping,Cost: Total Direct,Cost: Hourly Crew,Cost: Hourly Equipment,Cost: Labor,Cost: Equipment,Cost: Material,Schedule Name
A6777380,Excavate [B1_A_Excavation],,Excavation,Excavate,B1_A_Excavation,2616e526-c9b8-4c5f-be39-cafe482bb35e,E_Excavation Crew,1,3,1/1/2020 9:00,1/2/2020 17:00,16,32,,48,1/1/2020,1/2/2020,Yes,0,0,,,Excavation Sub,Excavation Sub,,1,0,0,0,0,0,,,Unknown,Unknown,,,,,8000,300,200,4800,3200,0,1 Crew  and Equipment each
A1316026073,Excavate [B1_B_Excavation],,Excavation,Excavate,B1_B_Excavation,dfe48e6c-2b2a-42e9-b112-c21aa9bcb4b9,E_Excavation Crew,1,3,1/3/2020 9:00,1/6/2020 17:00,16,80,,48,1/3/2020,1/6/2020,Yes,0,0,"A6777380, A6777380","Crew, Equipment",Excavation Sub,Excavation Sub,,1,0,0,0,0,0,,,Unknown,Unknown,,,,,8000,300,200,4800,3200,0,1 Crew  and Equipment each
A1183849568,Excavate [B1_C_Excavation],,Excavation,Excavate,B1_C_Excavation,b349fb6e-2a57-4adf-9ccb-93e935a2b47d,E_Excavation Crew,1,3,1/7/2020 9:00,1/8/2020 17:00,16,32,,48,1/7/2020,1/8/2020,Yes,0,0,"A1316026073, A1316026073","Crew, Equipment",Excavation Sub,Excavation Sub,,1,0,0,0,0,0,,,Unknown,Unknown,,,,,8000,300,200,4800,3200,0,1 Crew  and Equipment each
A91195615,Drop Rebar [PO_A_L0_Foundation],,Foundation,Drop Rebar,PO_A_L0_Foundation,92539ff9-3927-4b8a-95fc-d2f1caecae24,E_Steel Crew,1,3,1/9/2020 9:00,1/10/2020 17:00,16,32,,48,1/9/2020,1/10/2020,Yes,0,0,A1183849568,Precedence,Excavation Sub,Excavation Sub,,0,51942.92851,0,0,0,0,,,,,,,,,62976.07993,300,0,4800,0,58176.07993,1 Crew  and Equipment each
A1252878729,Excavate [B2_A_Excavation],,Excavation,Excavate,B2_A_Excavation,1bb33989-c4b9-40af-ad2e-d853a5179f82,E_Excavation Crew,1,3,1/9/2020 9:00,1/10/2020 17:00,16,32,,48,1/10/2020,1/13/2020,No,0,8,"A1183849568, A1183849568","Crew, Equipment",Excavation Sub,Excavation Sub,,1,0,0,0,0,0,,,Unknown,Unknown,,,,,8000,300,200,4800,3200,0,1 Crew  and Equipment each
A1785833250,Excavate [B2_B_Excavation],,Excavation,Excavate,B2_B_Excavation,776b1e29-b7bc-4e6e-8e32-d69455b7dca3,E_Excavation Crew,1,3,1/13/2020 9:00,1/14/2020 17:00,16,32,,48,1/14/2020,1/15/2020,No,0,8,"A1252878729, A1252878729","Crew, Equipment",Excavation Sub,Excavation Sub,,1,0,0,0,0,0,,,Unknown,Unknown,,,,,8000,300,200,4800,3200,0,1 Crew  and Equipment each
A1257645049,Setup Form-work [PO_A_L0_Foundation],,Foundation,Setup Form-work,PO_A_L0_Foundation,92539ff9-3927-4b8a-95fc-d2f1caecae24,E_Carpenter Crew,1,3,1/13/2020 9:00,1/15/2020 17:00,24,56,A91195615,72,1/13/2020,1/15/2020,Yes,0,0,A91195615,Precedence,Excavation Sub,Excavation Sub,,0,0,0,0,0,0,,,,,,,,,7200,300,0,7200,0,0,1 Crew  and Equipment each
A822537153,Excavate [B2_C_Excavation],,Excavation,Excavate,B2_C_Excavation,b2cd6ccc-5bd8-4422-9ea5-0205ecb2c080,E_Excavation Crew,1,3,1/15/2020 9:00,1/16/2020 17:00,16,32,,48,1/16/2020,1/17/2020,No,0,8,"A1785833250, A1785833250","Crew, Equipment",Excavation Sub,Excavation Sub,,1,0,0,0,0,0,,,Unknown,Unknown,,,,,8000,300,200,4800,3200,0,1 Crew  and Equipment each
A695601743,Pour Concrete [PO_A_L0_Foundation],,Foundation,Pour Concrete,PO_A_L0_Foundation,92539ff9-3927-4b8a-95fc-d2f1caecae24,E_Concrete Crew,1,3,1/16/2020 9:00,1/16/2020 17:00,8,8,A1257645049,24,1/16/2020,1/16/2020,Yes,0,0,A1257645049,Precedence,Excavation Sub,Excavation Sub,,0,0,1,11093.9383,11093.9383,0,,,,,,,,,67416.66064,300,500,2400,4000,61016.66064,1 Crew  and Equipment each
A648505358,Cure [PO_A_L0_Foundation],,Foundation,Cure,PO_A_L0_Foundation,92539ff9-3927-4b8a-95fc-d2f1caecae24,,0,0,1/16/2020 17:00,1/19/2020 17:00,72,72,A695601743FaS,0,1/17/2020,1/20/2020,No,0,16,A695601743,Precedence,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1 Crew  and Equipment each
